10,0
4,2
28,4
001c,6
40,8
34,10
58,12
004c,14
70,16
64,18
11,20
5,22
29,24
001d,26
41,28
35,30
59,32
004d,34
71,36
65,38
000e,40
2,42
26,44
001a,46
003e,48
32,50
56,52
004a,54
006e,56
62,58
000f,60
3,62
27,64
001b,66
003f,68
33,70
57,72
004b,74
006f,76
63,78
000c,80
0,82
24,84
18,86
003c,88
30,90
54,92
48,94
006c,96
60,98
000d,100
1,102
25,104
19,106
003d,108
31,110
55,112
49,114
006d,116
61,118
16,1
000a,3
002e,5
22,7
46,9
003a,11
005e,13
52,15
76,17
006a,19
17,21
000b,23
002f,25
23,27
47,29
003b,31
005f,33
53,35
77,37
006b,39
14,41
8,43
002c,45
20,47
44,49
38,51
005c,53
50,55
74,57
68,59
15,61
9,63
002d,65
21,67
45,69
39,71
005d,73
51,75
75,77
69,79
12,81
6,83
002a,85
001e,87
42,89
36,91
005a,93
004e,95
72,97
66,99
13,101
7,103
002b,105
001f,107
43,109
37,111
005b,113
004f,115
73,117
67,119
