p1_ID_MC       p2_ID_MC  p2_ID_TAN2_MC       p0_MS_MC       p1_MS_MC       p2_MS_MC
      0.0723082              0    4.83425e-05    1.04921e-05      0.0244415    0.000175436
      0.0691971              0    4.71342e-05      0.0471034      0.0203562    0.000236104
      0.0387383              0    4.90463e-05      0.0664754      0.0272417    0.000200816
      0.0379714              0    4.90133e-05      0.0614589      0.0238185    0.000194253
      0.0320248    0.000490704              0    1.00016e-05      0.0264113    0.000301859
       0.031758    0.000517461              0          1e-05       0.029918    0.000416481
      0.0284066    0.000412966              0    1.00099e-05       0.032461    0.000330419
      0.0284216    0.000390481              0    1.00017e-05      0.0420079    0.000627266
      0.0252559    0.000394281              0    1.00439e-05      0.0397942    0.000470555
      0.0241845    0.000386801              0      0.0927599      0.0363533    0.000300632
      0.0227052    0.000367881              0       0.229446      0.0218265    0.000370412
      0.0214611    0.000366641              0       0.235959      0.0247484    0.000509428
      0.0198031    0.000371345              0       0.197225      0.0216033    0.000187096
      0.0196005    0.000382838              0        0.20032      0.0240494    0.000140409
      0.0203216    0.000371487              0       0.175378      0.0278182    0.000222434
      0.0197282      0.0003814              0    1.04037e-05      0.0411804    0.000213656
      0.0152352    0.000337985              0       0.207671      0.0248854    0.000254459
      0.0153407    0.000348139              0       0.226725      0.0256351    0.000177595
      0.0154465    0.000338171              0       0.196647      0.0266612    0.000413159
      0.0154247    0.000332988              0        0.21725      0.0356644    0.000391622
      0.0132092    0.000296028              0        0.17238      0.0247228    0.000351304
      0.0131759    0.000295718              0       0.205012       0.026244    0.000181819
       0.013232    0.000296162              0       0.166134      0.0296444    0.000684715
      0.0130937    0.000286539              0       0.109463      0.0331867    0.000193547
      0.0131736    0.000287852              0       0.162193      0.0241728    0.000313489
      0.0132997    0.000299637              0       0.214476      0.0249816    0.000167775
      0.0133173    0.000300553              0       0.186399      0.0272847    0.000468249
      0.0132012    0.000281715              0       0.221009      0.0293876    0.000199884
      0.0151674    0.000332239              0       0.205728      0.0247806    0.000256659
      0.0151559    0.000345457              0       0.230166      0.0256194    0.000172141
      0.0156461    0.000326465              0       0.172589      0.0280599     0.00025274
      0.0146274    0.000347251              0       0.150266      0.0393121    0.000448022
      0.0200362    0.000378619              0       0.205902      0.0218388    0.000194621
       0.019586    0.000396574              0       0.185035      0.0249227    8.82566e-05
      0.0203813    0.000369492              0       0.216016      0.0243669    0.000266605
      0.0195747    0.000382918              0       0.132489      0.0388047     0.00053983
      0.0225592    0.000351345              0       0.219556       0.026172    0.000586887
      0.0211126    0.000374554              0    1.00369e-05      0.0383733         0.0007
        0.02513    0.000362004              0     1.0026e-05      0.0412474    0.000537728
      0.0241039    0.000388148              0    1.26207e-05      0.0392338    0.000391787
       0.028384    0.000404439              0    1.00312e-05      0.0323958    0.000345077
      0.0278415    0.000413289              0    1.00982e-05      0.0424714    0.000594379
      0.0320824    0.000512367              0     1.0098e-05       0.026766    0.000271228
      0.0321366    0.000505961              0    1.03802e-05      0.0301788    0.000376839
      0.0390965              0    4.83237e-05      0.0985003      0.0263942    0.000272515
      0.0374947              0    4.84926e-05      0.0551516      0.0236063    0.000208773
      0.0721639              0    4.32996e-05      0.0830145         0.0235    0.000260787
      0.0661187              0    4.55577e-05      0.0659264      0.0194266    0.000236385
