# grid   : Signal grid with associated production of chargino-1 and neutralino-2 with decays via Wh. 13 TeV.
# author : mann@cern.ch (please report any problems), Balthasar.Schachtner@cern.ch (added filter eff)
# date   : 29.09.2016
# updated: 11.09.2017 dbogavac@cern.ch (points 500 - 600 GeV)
# updated: 17.10.2017 dbogavac@cern.ch (points 600 - 800 GeV)
# Cross sections taken from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVn2x1wino
# Filter efficiencies from AMI are 1.0, included leptonic branching fraction of W (PDG) as filter eff
#
#SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
392590     125         3.273840        1.00       0.324000      0.038846  # (150.0, 0.0)
392590     127         1.907040        1.00       0.324000      0.066172  # (150.0, 0.0)
392591     125         3.087205        1.00       0.324000      0.039215  # (152.5, 22.5)
392591     127         1.791733        1.00       0.324000      0.066475  # (152.5, 22.5)
392592     125         2.462788        1.00       0.324000      0.040727  # (162.5, 12.5)
392592     127         1.409000        1.00       0.324000      0.067746  # (162.5, 12.5)
392593     125         2.332331        1.00       0.324000      0.041114  # (165.0, 35.0)
392593     127         1.329702        1.00       0.324000      0.068074  # (165.0, 35.0)
392594     125         1.890260        1.00       0.324000      0.042656  # (175.0, 0.0)
392594     127         1.063010        1.00       0.324000      0.069402  # (175.0, 0.0)
392595     125         1.890260        1.00       0.324000      0.042656  # (175.0, 25.0)
392595     127         1.063010        1.00       0.324000      0.069402  # (175.0, 25.0)
392596     125         1.796689        1.00       0.324000      0.043097  # (177.5, 47.5)
392596     127         1.007011        1.00       0.324000      0.069765  # (177.5, 47.5)
392597     125         1.476137        1.00       0.324000      0.044736  # (187.5, 12.5)
392597     127         0.816545        1.00       0.324000      0.071174  # (187.5, 12.5)
392598     125         1.476137        1.00       0.324000      0.044736  # (187.5, 37.5)
392598     127         0.816545        1.00       0.324000      0.071174  # (187.5, 37.5)
392599     125         1.407543        1.00       0.324000      0.045153  # (190.0, 60.0)
392599     127         0.776095        1.00       0.324000      0.071534  # (190.0, 60.0)
392600     125         1.170260        1.00       0.324000      0.046853  # (200.0, 0.0)
392600     127         0.637140        1.00       0.324000      0.072993  # (200.0, 0.0)
392601     125         1.170260        1.00       0.324000      0.046853  # (200.0, 25.0)
392601     127         0.637140        1.00       0.324000      0.072993  # (200.0, 25.0)
392602     125         1.170260        1.00       0.324000      0.046853  # (200.0, 50.0)
392602     127         0.637140        1.00       0.324000      0.072993  # (200.0, 50.0)
392603     125         1.118839        1.00       0.324000      0.047105  # (202.5, 72.5)
392603     127         0.607294        1.00       0.324000      0.073406  # (202.5, 72.5)
392604     125         0.939510        1.00       0.324000      0.048408  # (212.5, 12.5)
392604     127         0.503626        1.00       0.324000      0.074820  # (212.5, 12.5)
392605     125         0.939510        1.00       0.324000      0.048408  # (212.5, 37.5)
392605     127         0.503626        1.00       0.324000      0.074820  # (212.5, 37.5)
392606     125         0.939510        1.00       0.324000      0.048408  # (212.5, 62.5)
392606     127         0.503626        1.00       0.324000      0.074820  # (212.5, 62.5)
392607     125         0.900340        1.00       0.324000      0.048734  # (215.0, 85.0)
392607     127         0.481147        1.00       0.324000      0.075166  # (215.0, 85.0)
392608     125         0.762405        1.00       0.324000      0.049811  # (225.0, 0.0)
392608     127         0.402717        1.00       0.324000      0.076648  # (225.0, 0.0)
392609     125         0.762405        1.00       0.324000      0.049811  # (225.0, 25.0)
392609     127         0.402717        1.00       0.324000      0.076648  # (225.0, 25.0)
392610     125         0.762405        1.00       0.324000      0.049811  # (225.0, 50.0)
392610     127         0.402717        1.00       0.324000      0.076648  # (225.0, 50.0)
392611     125         0.762405        1.00       0.324000      0.049811  # (225.0, 75.0)
392611     127         0.402717        1.00       0.324000      0.076648  # (225.0, 75.0)
392612     125         0.625298        1.00       0.324000      0.051665  # (237.5, 12.5)
392612     127         0.325357        1.00       0.324000      0.078138  # (237.5, 12.5)
392613     125         0.732442        1.00       0.324000      0.050362  # (227.5, 97.5)
392613     127         0.385585        1.00       0.324000      0.076845  # (227.5, 97.5)
392614     125         0.625298        1.00       0.324000      0.051665  # (237.5, 37.5)
392614     127         0.325357        1.00       0.324000      0.078138  # (237.5, 37.5)
392615     125         0.625298        1.00       0.324000      0.051665  # (237.5, 62.5)
392615     127         0.325357        1.00       0.324000      0.078138  # (237.5, 62.5)
392616     125         0.625298        1.00       0.324000      0.051665  # (237.5, 87.5)
392616     127         0.325357        1.00       0.324000      0.078138  # (237.5, 87.5)
392617     125         0.601578        1.00       0.324000      0.051991  # (240.0, 110.0)
392617     127         0.312114        1.00       0.324000      0.078456  # (240.0, 110.0)
392618     125         0.517259        1.00       0.324000      0.053465  # (250.0, 0.0)
392618     127         0.265255        1.00       0.324000      0.079645  # (250.0, 0.0)
392619     125         0.517259        1.00       0.324000      0.053465  # (250.0, 25.0)
392619     127         0.265255        1.00       0.324000      0.079645  # (250.0, 25.0)
392620     125         0.517259        1.00       0.324000      0.053465  # (250.0, 50.0)
392620     127         0.265255        1.00       0.324000      0.079645  # (250.0, 50.0)
392621     125         0.517259        1.00       0.324000      0.053465  # (250.0, 75.0)
392621     127         0.265255        1.00       0.324000      0.079645  # (250.0, 75.0)
392622     125         0.517259        1.00       0.324000      0.053465  # (250.0, 100.0)
392622     127         0.265255        1.00       0.324000      0.079645  # (250.0, 100.0)
392623     125         0.431224        1.00       0.324000      0.054924  # (262.5, 12.5)
392623     127         0.218173        1.00       0.324000      0.081195  # (262.5, 12.5)
392624     125         0.431224        1.00       0.324000      0.054924  # (262.5, 37.5)
392624     127         0.218173        1.00       0.324000      0.081195  # (262.5, 37.5)
392625     125         0.431224        1.00       0.324000      0.054924  # (262.5, 62.5)
392625     127         0.218173        1.00       0.324000      0.081195  # (262.5, 62.5)
392626     125         0.431224        1.00       0.324000      0.054924  # (262.5, 87.5)
392626     127         0.218173        1.00       0.324000      0.081195  # (262.5, 87.5)
392627     125         0.362248        1.00       0.324000      0.056619  # (275.0, 0.0)
392627     127         0.180802        1.00       0.324000      0.082539  # (275.0, 0.0)
392628     125         0.362248        1.00       0.324000      0.056619  # (275.0, 25.0)
392628     127         0.180802        1.00       0.324000      0.082539  # (275.0, 25.0)
392629     125         0.362248        1.00       0.324000      0.056619  # (275.0, 50.0)
392629     127         0.180802        1.00       0.324000      0.082539  # (275.0, 50.0)
392630     125         0.362248        1.00       0.324000      0.056619  # (275.0, 75.0)
392630     127         0.180802        1.00       0.324000      0.082539  # (275.0, 75.0)
392631     125         0.306152        1.00       0.324000      0.058186  # (287.5, 12.5)
392631     127         0.150826        1.00       0.324000      0.084037  # (287.5, 12.5)
392632     125         0.306152        1.00       0.324000      0.058186  # (287.5, 37.5)
392632     127         0.150826        1.00       0.324000      0.084037  # (287.5, 37.5)
392633     125         0.306152        1.00       0.324000      0.058186  # (287.5, 62.5)
392633     127         0.150826        1.00       0.324000      0.084037  # (287.5, 62.5)
392634     125         0.260319        1.00       0.324000      0.059743  # (300.0, 0.0)
392634     127         0.126627        1.00       0.324000      0.085457  # (300.0, 0.0)
392635     125         0.260319        1.00       0.324000      0.059743  # (300.0, 25.0)
392635     127         0.126627        1.00       0.324000      0.085457  # (300.0, 25.0)
392636     125         0.260319        1.00       0.324000      0.059743  # (300.0, 50.0)
