# author : edfarina@cern.ch (please report any problems)
# date   : 11/07/2017
#DSID	FS	CROSSECTION[pb]	K-FACTOR	FILTEREFF	REL.UNCERT
305325	0	2.4258E+04	1.0	2.1855E-03	0
305326	0	1.3587E+03	1.0	2.8216E-02	0
305327	0	6.0312E+02	1.0	6.7677E-02	0
305328	0	3.9325E+02	1.0	1.3970E-01	0
305329	0	1.5033E+02	1.0	1.6224E-01	0
305330	0	5.5594E+01	1.0	1.6820E-01	0
305331	0	2.4076E+01	1.0	1.6586E-01	0
305332	0	1.1835E+01	1.0	1.6444E-01	0
305333	0	6.2768E+00	1.0	1.6554E-01	0
305334	0	3.6940E+00	1.0	1.6490E-01	0
305335	0	4.3233E+02	1.0	2.8546E-02	0
305336	0	4.7896E+01	1.0	1.7447E-01	0
305337	0	2.4927E+00	1.0	8.0002E-01	0
305338	0	6.8512E-01	1.0	6.1071E-01	0
305339	0	4.7908E-01	1.0	3.5405E-01	0
305340	0	4.5065E-01	1.0	2.3871E-01	0
305341	0	4.5141E-01	1.0	1.9664E-01	0
305342	0	4.5658E+02	1.0	3.6704E-02	0
305343	0	5.8506E+02	1.0	2.8170E-02	0
305344	0	5.0671E+01	1.0	1.8515E-01	0
305345	0	3.1236E+00	1.0	7.4106E-01	0
305346	0	1.2060E+00	1.0	4.6513E-01	0
305347	0	9.9745E-01	1.0	2.6028E-01	0
305348	0	9.8435E-01	1.0	1.9180E-01	0
305349	0	9.7921E-01	1.0	1.7175E-01	0
305350	0	9.4729E-01	1.0	1.6311E-01	0
305351	0	7.2344E-03	1.0	9.5209E-02	0
305352	0	6.6294E-01	1.0	8.6699E-01	0
305353	0	8.9614E-02	1.0	4.3504E-01	0
391527	0	8.2905E-02	1.0	2.6089E-01	0
391526	0	4.5120E-01	1.0	1.8411E-01	0
391525	0	8.3218E-02	1.0	3.1116E-01	0
391530	0	8.3688E-02	1.0	2.3887E-01	0
391529	0	4.4242E-01	1.0	1.7984E-01	0
