# author : andreas.ralph.redelbach@cern.ch (please report any problems)
# brief  : NLO+NLL cross-sections and uncertainties for higgsino LSP
# final state 125: Neut2 Char1p
#             127: Neut2 Char1m
#             112: Neut2 Neut1
#             157: Char1m Char1p
#             Efficiency factor includes generator filter times merging eff.
#             BF corresponds to leptonic BRs for W or Z
#
#datasetID  finalState  XS       BF           Eff(filt*merge)   relUncertainty   Note              MG sigma [pb]          Filter Eff       Merge Eff 
393400  125     7.089928         0.100974     1.031045e-02      0.0200578      # N2C1p_83_80        1.163000e+01          1.239787e-02    8.316310e-01
393401  125     6.620575         0.100974     2.569646e-02      0.0202200      # N2C1p_85_80        1.090000e+01          3.095549e-02    8.301100e-01
393402  125     5.615319         0.100974     5.374963e-02      0.0207153      # N2C1p_90_80        9.327000e+00          6.503928e-02    8.264180e-01
393403  125     4.139338         0.100974     8.356527e-02      0.0216977      # N2C1p_100_80       6.996000e+00          1.025225e-01    8.150920e-01
393404  125     2.425784         0.100974     1.272570e-01      0.0236300      # N2C1p_120_80       4.240000e+00          1.585877e-01    8.024390e-01
393405  125     1.530306         0.100974     1.940942e-01      0.0255198      # N2C1p_140_80       2.760000e+00          2.463525e-01    7.878720e-01
393406  125     0.706650         0.100974     2.349355e-01      0.0292396      # N2C1p_180_80       1.334000e+00          3.062893e-01    7.670380e-01
393407  125     3.176379         0.100974     1.059549e-02      0.0226370      # N2C1p_103_100      5.462000e+00          1.310061e-02    8.087780e-01
393408  125     3.013579         0.100974     2.750886e-02      0.0227898      # N2C1p_105_100      5.200000e+00          3.406113e-02    8.076320e-01
393409  125     2.651454         0.100974     6.267793e-02      0.0232688      # N2C1p_110_100      4.614000e+00          7.805111e-02    8.030370e-01
393410  125     2.080777         0.100974     9.552819e-02      0.0242456      # N2C1p_120_100      3.681000e+00          1.201339e-01    7.951810e-01
393411  125     1.341172         0.100974     1.457459e-01      0.0261506      # N2C1p_140_100      2.448000e+00          1.857878e-01    7.844750e-01
393412  125     0.907085         0.100974     2.260033e-01      0.0279755      # N2C1p_160_100      1.700000e+00          2.915957e-01    7.750570e-01
393413  125     0.460948         0.100974     2.558742e-01      0.0315538      # N2C1p_200_100      8.874000e-01          3.388964e-01    7.550220e-01
393414  125     0.769951         0.100974     1.334257e-02      0.0288711      # N2C1p_153_150      1.461000e+00          1.737855e-02    7.677610e-01
393415  125     0.743600         0.100974     3.548830e-02      0.0290274      # N2C1p_155_150      1.413000e+00          4.627681e-02    7.668700e-01
393416  125     0.682518         0.100974     8.187772e-02      0.0294741      # N2C1p_160_150      1.302000e+00          1.069137e-01    7.658300e-01
393417  125     0.578138         0.100974     1.300296e-01      0.0303602      # N2C1p_170_150      1.111000e+00          1.704238e-01    7.629780e-01
393418  125     0.423038         0.100974     1.876799e-01      0.0321038      # N2C1p_190_150      8.232000e-01          2.481373e-01    7.563550e-01
393419  125     0.316620         0.100974     2.577175e-01      0.0338101      # N2C1p_210_150      6.223000e-01          3.440491e-01    7.490720e-01
393420  125     0.187346         0.100974     2.814152e-01      0.0371215      # N2C1p_250_150      3.744000e-01          3.823591e-01    7.359970e-01
393421  125     0.278961         0.100974     1.291700e-02      0.0345778      # N2C1p_203_200      5.547000e-01          1.735276e-02    7.443770e-01
393422  125     0.271602         0.100974     3.736184e-02      0.0347886      # N2C1p_205_200      5.407000e-01          5.020099e-02    7.442450e-01
393423  125     0.254229         0.100974     9.065328e-02      0.0352043      # N2C1p_210_200      5.072000e-01          1.223467e-01    7.409540e-01
393424  125     0.223410         0.100974     1.454453e-01      0.0360290      # N2C1p_220_200      4.475000e-01          1.967349e-01    7.392960e-01
393425  125     0.174436         0.100974     2.131708e-01      0.0376525      # N2C1p_240_200      3.519000e-01          2.898414e-01    7.354740e-01
393426  125     0.138007         0.100974     2.749991e-01      0.0392424      # N2C1p_260_200      2.802000e-01          3.766786e-01    7.300630e-01
393427  125     0.089352         0.100974     3.074728e-01      0.0422945      # N2C1p_300_200      1.834000e-01          4.272906e-01    7.195870e-01
393428  125     0.124277         0.100974     1.231460e-02      0.0399740      # N2C1p_253_250      2.548000e-01          1.691566e-02    7.280000e-01
393429  125     0.121569         0.100974     3.741503e-02      0.0401548      # N2C1p_255_250      2.495000e-01          5.152648e-02    7.261320e-01
393430  125     0.115106         0.100974     9.881341e-02      0.0405424      # N2C1p_260_250      2.365000e-01          1.360079e-01    7.265270e-01
393431  125     0.103388         0.100974     1.534268e-01      0.0413118      # N2C1p_270_250      2.131000e-01          2.120686e-01    7.234770e-01
393432  125     0.084001         0.100974     2.199291e-01      0.0428275      # N2C1p_290_250      1.739000e-01          3.057548e-01    7.192990e-01
393433  125     0.068843         0.100974     2.891481e-01      0.0443133      # N2C1p_310_250      1.430000e-01          4.037389e-01    7.161760e-01
393434  125     0.047308         0.100974     3.164270e-01      0.0472371      # N2C1p_350_250      9.889000e-02          4.455846e-01    7.101390e-01
393435  125     0.062895         0.100974     1.166842e-02      0.0450209      # N2C1p_303_300      1.318000e-01          1.633059e-02    7.145130e-01
393436  125     0.061715         0.100974     3.756181e-02      0.0451665      # N2C1p_305_300      1.294000e-01          5.247492e-02    7.158050e-01
393437  125     0.058876         0.100974     1.021417e-01      0.0455293      # N2C1p_310_300      1.236000e-01          1.434318e-01    7.121270e-01
393438  125     0.053656         0.100974     1.641032e-01      0.0462495      # N2C1p_320_300      1.128000e-01          2.307371e-01    7.112130e-01
393439  125     0.044783         0.100974     2.315546e-01      0.0476696      # N2C1p_340_300      9.434000e-02          3.272301e-01    7.076200e-01
393440  125     0.037608         0.100974     2.952177e-01      0.0490634      # N2C1p_360_300      7.943000e-02          4.170778e-01    7.078240e-01
393441  125     0.026962         0.100974     3.264834e-01      0.0517766      # N2C1p_400_300      5.713000e-02          4.646782e-01    7.026010e-01
393442  125     0.020396         0.100974     1.064191e-02      0.0541612      # N2C1p_403_400      4.393000e-02          1.528995e-02    6.960070e-01
393443  125     0.020088         0.100974     3.665550e-02      0.0542904      # N2C1p_405_400      4.330000e-02          5.279475e-02    6.943020e-01
393444  125     0.019344         0.100974     1.078288e-01      0.0546124      # N2C1p_410_400      4.170000e-02          1.550866e-01    6.952810e-01
393445  125     0.017951         0.100974     1.782048e-01      0.0552527      # N2C1p_420_400      3.870000e-02          2.574288e-01    6.922490e-01
393446  125     0.015500         0.100974     2.456436e-01      0.0565184      # N2C1p_440_400      3.344000e-02          3.561931e-01    6.896360e-01
393447  125     0.013430         0.100974     3.145430e-01      0.0577651      # N2C1p_460_400      2.899000e-02          4.562959e-01    6.893400e-01
393448  125     0.010178         0.100974     3.377921e-01      0.0602030      # N2C1p_500_400      2.199000e-02          4.901142e-01    6.892110e-01
393449  127     4.607659         0.100974     9.919038e-03      0.0401496      # N2C1m_83_80        7.330000e+00          1.190265e-02    8.333470e-01
393450  127     4.289711         0.100974     2.501470e-02      0.0404856      # N2C1m_85_80        6.848000e+00          3.006462e-02    8.320310e-01
393451  127     3.611758         0.100974     5.333175e-02      0.0410894      # N2C1m_90_80        5.817000e+00          6.451544e-02    8.266510e-01
