# author : herwig@cern.ch (please report any problems)
# date   : 01/07/2017
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT

390853   61   8.51615             1.0          1.0         0.139223
390854   61   8.51615             1.0          1.0         0.139223
390855   61   8.51615             1.0          1.0         0.139223
390856   61   8.51615             1.0          1.0         0.139223
390857   61   3.78661             1.0          1.0         0.136877
390858   61   3.78661             1.0          1.0         0.136877
390859   61   3.78661             1.0          1.0         0.136877
390860   61   3.78661             1.0          1.0         0.136877
390861   61   1.83537             1.0          1.0         0.136985
390862   61   1.83537             1.0          1.0         0.136985
390863   61   1.83537             1.0          1.0         0.136985
390864   61   1.83537             1.0          1.0         0.136985
390865   61   0.948333            1.0          1.0         0.134559
390866   61   0.948333            1.0          1.0         0.134559
390867   61   0.948333            1.0          1.0         0.134559
390868   61   0.948333            1.0          1.0         0.134559
390869   61   0.51848             1.0          1.0         0.133797
390870   61   0.51848             1.0          1.0         0.133797
390871   61   0.51848             1.0          1.0         0.133797
390872   61   0.51848             1.0          1.0         0.133797
390873   61   0.296128            1.0          1.0         0.132687
390874   61   0.296128            1.0          1.0         0.132687
390875   61   0.296128            1.0          1.0         0.132687
390876   61   0.296128            1.0          1.0         0.132687
