v0.0 1 dummy 0 100
0.006 -3.75  1
0.08 3.75  1
0.12 11.25  1
0.2 18.75  1
0.329471 26.25  1
0.891593 33.75  1
1.26313 41.25  1
1.61735 48.75  1
1.95691 56.25  1
2.3246 63.75  1
2.69977 71.25  1
3.06085 78.75  1
3.39283 86.25  1
3.73301 93.75  1
4.0958 101.25  1
4.40873 108.75  1
4.71978 116.25  1
5.01734 123.75  1
5.27703 131.25  1
5.54612 138.75  1
5.7883 146.25  1
6.0291 153.75  1
6.25856 161.25  1
6.47283 168.75  1
6.69762 176.25  1
6.90866 183.75  1
7.10841 191.25  1
7.29428 198.75  1
7.47281 206.25  1
7.65395 213.75  1
7.83293 221.25  1
7.99895 228.75  1
8.16799 236.25  1
8.32981 243.75  1
8.49947 251.25  1
8.64711 258.75  1
8.80435 266.25  1
8.94599 273.75  1
9.09739 281.25  1
9.23126 288.75  1
9.38432 296.25  1
9.51813 303.75  1
9.65211 311.25  1
9.76734 318.75  1
9.90211 326.25  1
10.0359 333.75  1
10.1689 341.25  1
10.2999 348.75  1
10.3994 356.25  1
10.5221 363.75  1
10.6322 371.25  1
10.7712 378.75  1
10.8966 386.25  1
11.023 393.75  1
11.1243 401.25  1
11.2325 408.75  1
11.34 416.25  1
11.443 423.75  1
11.5491 431.25  1
11.6699 438.75  1
11.7648 446.25  1
11.8627 453.75  1
11.9555 461.25  1
12.0428 468.75  1
12.1561 476.25  1
12.2449 483.75  1
12.3672 491.25  1
12.456 498.75  1
12.5592 506.25  1
12.652 513.75  1
12.7501 521.25  1
12.8264 528.75  1
12.9499 536.25  1
13.0109 543.75  1
13.1288 551.25  1
13.231 558.75  1
13.309 566.25  1
13.4132 573.75  1
13.4872 581.25  1
13.5871 588.75  1
13.6684 596.25  1
13.7587 603.75  1
13.8251 611.25  1
13.9379 618.75  1
13.9877 626.25  1
14.0801 633.75  1
14.1629 641.25  1
14.2375 648.75  1
14.3356 656.25  1
14.3797 663.75  1
14.441 671.25  1
14.4219 678.75  1
14.5433 686.25  1
14.5433 693.75  1
14.5433 701.25  1
14.5433 708.75  1
14.5433 716.25  1
14.5433 723.75  1
14.5433 731.25  1
14.5433 738.75  1
