259012 2012-03-24:20:48:47 200156 181 -1 181 2012-03-24:20:49:16 200156 182 N 2401 0 ON ON
36006 2012-03-30:19:46:23 200498 435 -1 435 2012-03-30:19:49:59 200498 438 N 2428 1 ON ON
73015 2012-04-02:21:57:25 200730 77 -1 77 2012-04-02:22:01:29 200730 81 N 2448 1 ON ON 
124000 2012-04-03:22:44:10 200768 240 247 257 2012-04-03:23:08:26 200768 266 N 2461 0 ON ON
315008 2012-04-05:21:39:51 200863 166 166 351 2012-04-06:00:44:36 200863 367 Y 2472 72 ON ON 
36006 2012-04-05:22:02:46 200863 192 -1 193 2012-04-05:22:06:22 200863 197 Y 2472 72 ON ON 
132006 2012-04-05:20:20:10 200863 84 -1 85 2012-04-05:20:22:44 200863 87 Y 2472 72 ON ON 
237005 2012-04-05:20:12:24 200863 75 -1 75 2012-04-05:20:30:36 200863 96 Y 2472 72 ON ON 
18004 2012-04-05:17:06:07 200842 48 -1 48 2012-04-05:17:07:28 200842 50 Y 2471 28 ON ON 
110005 2012-04-05:21:30:59 200863 157 -1 157 2012-04-05:21:33:49 200863 159 Y 2472 72 ON ON 
65014 2012-04-06:03:05:57 200899 45 -1 -1 9999-12-31:23:00:00 0 0 N 2473 1 ON ON
73015 2012-04-05:23:52:07 200863 312 -1 312 2012-04-06:00:07:11 200863 327 Y 2472 72 ON ON 
339003 2012-04-06:15:51:19 200913 161 170 -1 9999-12-31:23:00:00 0 0 Y 2479 72 ON ON
267006 2012-04-06:17:49:38 200913 292 293 -1 9999-12-31:23:00:00 0 0 Y 2479 72 ON ON 
267006 2012-04-07:02:09:26 200926 319 320 -1 9999-12-31:23:00:00 0 0 Y 2482 249 ON ON 
239006 2012-04-07:04:16:56 200926 467 -1 468 2012-04-07:04:36:20 200926 490 Y 2482 249 ON ON 
237006 2012-04-07:04:17:07 200926 468 -1 469 2012-04-07:04:40:03 200926 492 Y 2482 249 ON ON 
276002 2012-04-06:15:49:24 200913 159 160 -1 9999-12-31:23:00:00 0 0 Y 2479 72 ON ON 
276002 2012-04-07:02:07:57 200926 317 318 -1 9999-12-31:23:00:00 0 0 Y 2482 249 ON ON 
110007 2012-04-07:04:49:45 200926 501 -1 502 2012-04-07:04:50:22 200926 503 Y 2482 249 ON ON 
259012 2012-04-07:04:09:14 200926 459 515 460 9999-12-31:23:00:00 0 0 Y 2482 249 ON ON 
233013 2012-04-08:02:27:52 200967 295 -1 296 2012-04-08:02:41:15 200967 310 Y 2488 249 ON ON 
65004 2012-04-08:04:17:19 200967 410 -1 411 2012-04-08:04:19:11 200967 412 Y 2488 249 ON ON 
276002 2012-04-07:20:21:17 200965 94 -1 -1 9999-12-31:23:00:00 0 0 Y 2486 72 ON ON
41000 2012-04-07:17:44:38 0 0 -1 -1 2012-04-07:17:44:45 0 0 N 2486 0 ON ON
18004 2012-04-07:17:44:38 0 0 -1 -1 2012-04-07:17:44:46 0 0 N 2486 0 ON ON
