 1A_4 3.263 1C_4 3.208 1E_4 3.195 1G_4 3.195 1I_4 3.263 1K_4 3.208 1M_4 3.195 1O_4 3.195 2B_2 1.604 2F_2 1.604 2J_2 1.604 2N_2 1.604   4D 0.762   4L 0.762
 1A_3 1.681 1C_3 3.333 1E_3 3.333 1G_3 3.333 1I_3 1.681 1K_3 3.333 1M_3 3.333 1O_3 3.333 2B_1 1.770 2F_1 1.770 2J_1 1.770 2N_1 1.770   3D 1.352   3L 1.352
 1A_2 3.407 1C_2 3.407 1E_2 3.407 1G_2 3.407 1I_2 3.407 1K_2 3.407 1M_2 3.407 1O_2 3.407 1B_2 1.925 1F_2 1.925 1J_2 1.925 1N_2 1.925   2D 1.764   2L 1.764
 1A_1 1.721 1C_1 1.721 1E_1 1.721 1G_1 1.721 1I_1 1.721 1K_1 1.721 1M_1 1.721 1O_1 1.721 1B_1 0.994 1F_1 0.994 1J_1 0.994 1N_1 0.994   1D 1.935   1L 1.935
 2A_4 2.571 2C_4 2.525 2E_4 2.452 2G_4 2.525 2I_4 2.571 2K_4 2.525 2M_4 2.452 2O_4 2.525 4B_2 0.503 4F_2 0.503 4J_2 0.503 4N_2 0.503   4C 0.707   4K 0.707
 2A_3 2.750 2C_3 2.688 2E_3 2.628 2G_3 2.745 2I_3 2.750 2K_3 2.688 2M_3 2.628 2O_3 2.745 4B_1 0.766 4F_1 0.766 4J_1 0.766 4N_1 0.766   3C 1.238   3K 1.238
 2A_2 2.962 2C_2 2.868 2E_2 2.868 2G_2 2.868 2I_2 2.962 2K_2 2.868 2M_2 2.868 2O_2 2.868 3B_2 1.141 3F_2 1.141 3J_2 1.141 3N_2 1.141   2C 1.687   2K 1.687
 2A_1 3.130 2C_1 3.062 2E_1 2.996 2G_1 3.062 2I_1 3.130 2K_1 3.062 2M_1 2.996 2O_1 3.062 3B_1 1.375 3F_1 1.375 3J_1 1.375 3N_1 1.375   1C 1.935   1K 1.935
 3A_4 1.644 3C_4 1.644 3E_4 1.439 3G_4 1.604 3I_4 1.644 3K_4 1.644 3M_4 1.439 3O_4 1.604 2A_2 1.501 2E_2 1.501 2I_2 1.501 2M_2 1.501   4B 0.654   4J 0.654
 3A_3 1.925 3C_3 1.925 3E_3 1.721 3G_3 1.883 3I_3 1.925 3K_3 1.925 3M_3 1.721 3O_3 1.883 2A_1 1.681 2E_1 1.681 2I_1 1.681 2M_1 1.681   3B 1.151   3J 1.151
 3A_2 2.154 3C_2 2.110 3E_2 2.013 3G_2 2.154 3I_2 2.154 3K_2 2.110 3M_2 2.013 3O_2 2.154 1A_2 1.840 1E_2 1.840 1I_2 1.840 1M_2 1.840   2B 1.631   2J 1.631
 3A_1 2.355 3C_1 2.302 3E_1 2.251 3G_1 2.355 3I_1 2.355 3K_1 2.302 3M_1 2.251 3O_1 2.355 1A_1 1.969 1E_1 1.969 1I_1 1.969 1M_1 1.969   1B 1.935   1J 1.935
 4A_4 0.336 4C_4 0.345 4E_4 0.352 4G_4 0.336 4I_4 0.336 4K_4 0.345 4M_4 0.352 4O_4 0.336 4A_2 0.224 4E_2 0.224 4I_2 0.224 4M_2 0.224   4A 0.762   4I 0.762
 4A_3 0.406 4C_3 0.406 4E_3 0.416 4G_3 0.406 4I_3 0.406 4K_3 0.406 4M_3 0.416 4O_3 0.406 4A_1 0.700 4E_1 0.700 4I_1 0.700 4M_1 0.700   3A 1.352   3I 1.352
 4A_2 1.013 4C_2 1.013 4E_2 0.480 4G_2 0.480 4I_2 1.013 4K_2 1.013 4M_2 0.480 4O_2 0.480 3A_2 1.041 3E_2 1.041 3I_2 1.041 3M_2 1.041   2A 1.764   2I 1.764
 4A_1 1.305 4C_1 1.339 4E_1 1.116 4G_1 1.222 4I_1 1.305 4K_1 1.339 4M_1 1.116 4O_1 1.222 3A_1 1.305 3E_1 1.305 3I_1 1.305 3M_1 1.305   1A 1.935   1I 1.935
 1B_4 3.195 1D_4 3.195 1F_4 3.195 1H_4 3.263 1J_4 3.195 1L_4 3.195 1N_4 3.195 1P_4 3.263 2D_2 1.501 2H_2 1.501 2L_2 1.501 2P_2 1.501   4H 0.762   4P 0.762
 1B_3 3.333 1D_3 3.333 1F_3 3.333 1H_3 1.681 1J_3 3.333 1L_3 3.333 1N_3 3.333 1P_3 1.681 2D_1 1.681 2H_1 1.681 2L_1 1.681 2P_1 1.681   3H 1.352   3P 1.352
 1B_2 3.407 1D_2 3.407 1F_2 3.407 1H_2 3.407 1J_2 3.407 1L_2 3.407 1N_2 3.407 1P_2 3.407 1D_2 1.840 1H_2 1.840 1L_2 1.840 1P_2 1.840   2H 1.764   2P 1.764
 1B_1 1.721 1D_1 1.721 1F_1 1.721 1H_1 1.721 1J_1 1.721 1L_1 1.721 1N_1 1.721 1P_1 1.721 1D_1 1.969 1H_1 1.969 1L_1 1.969 1P_1 1.969   1H 1.935   1P 1.935
 2B_4 2.525 2D_4 2.452 2F_4 2.525 2H_4 2.571 2J_4 2.525 2L_4 2.452 2N_4 2.525 2P_4 2.571 4D_2 0.224 4H_2 0.224 4L_2 0.224 4P_2 0.224   4G 0.707   4O 0.707
 2B_3 2.745 2D_3 2.628 2F_3 2.745 2H_3 2.750 2J_3 2.745 2L_3 2.628 2N_3 2.745 2P_3 2.750 4D_1 0.700 4H_1 0.700 4L_1 0.700 4P_1 0.700   3G 1.238   3O 1.238
 2B_2 2.868 2D_2 2.868 2F_2 2.868 2H_2 2.962 2J_2 2.868 2L_2 2.868 2N_2 2.868 2P_2 2.962 3D_2 1.041 3H_2 1.041 3L_2 1.041 3P_2 1.041   2G 1.687   2O 1.687
 2B_1 3.062 2D_1 2.996 2F_1 3.062 2H_1 3.130 2J_1 3.062 2L_1 2.996 2N_1 3.062 2P_1 3.130 3D_1 1.305 3H_1 1.305 3L_1 1.305 3P_1 1.305   1G 1.935   1O 1.935
 3B_4 1.604 3D_4 1.439 3F_4 1.604 3H_4 1.644 3J_4 1.604 3L_4 1.439 3N_4 1.604 3P_4 1.644 2C_2 1.604 2G_2 1.604 2K_2 1.604 2O_2 1.604   4F 0.654   4N 0.654
 3B_3 1.883 3D_3 1.721 3F_3 1.883 3H_3 1.925 3J_3 1.883 3L_3 1.721 3N_3 1.883 3P_3 1.925 2C_1 1.770 2G_1 1.770 2K_1 1.770 2O_1 1.770   3F 1.151   3N 1.151
 3B_2 2.154 3D_2 2.013 3F_2 2.154 3H_2 2.154 3J_2 2.154 3L_2 2.013 3N_2 2.154 3P_2 2.154 1C_2 1.925 1G_2 1.925 1K_2 1.925 1O_2 1.925   2F 1.631   2N 1.631
 3B_1 2.355 3D_1 2.251 3F_1 2.355 3H_1 2.355 3J_1 2.355 3L_1 2.251 3N_1 2.355 3P_1 2.355 1C_1 0.994 1G_1 0.994 1K_1 0.994 1O_1 0.994   1F 1.935   1N 1.935
 4B_4 0.336 4D_4 0.352 4F_4 0.336 4H_4 0.336 4J_4 0.336 4L_4 0.352 4N_4 0.336 4P_4 0.336 4C_2 0.503 4G_2 0.503 4K_2 0.503 4O_2 0.503   4E 0.762   4M 0.762
 4B_3 0.406 4D_3 0.416 4F_3 0.406 4H_3 0.406 4J_3 0.406 4L_3 0.416 4N_3 0.406 4P_3 0.406 4C_1 0.766 4G_1 0.766 4K_1 0.766 4O_1 0.766   3E 1.352   3M 1.352
 4B_2 0.480 4D_2 0.480 4F_2 0.480 4H_2 1.013 4J_2 0.480 4L_2 0.480 4N_2 0.480 4P_2 1.013 3C_2 1.141 3G_2 1.141 3K_2 1.141 3O_2 1.141   2E 1.764   2M 1.764
 4B_1 1.222 4D_1 1.116 4F_1 1.222 4H_1 1.305 4J_1 1.222 4L_1 1.116 4N_1 1.222 4P_1 1.305 3C_1 1.375 3G_1 1.375 3K_1 1.375 3O_1 1.375   1E 1.935   1M 1.935
 1H_4 3.263 1F_4 3.195 1D_4 3.195 1B_4 3.195 1P_4 3.263 1N_4 3.195 1L_4 3.195 1J_4 3.195 2G_2 1.604 2C_2 1.604 2O_2 1.604 2K_2 1.604   4H 0.762   4P 0.762
 1H_3 1.681 1F_3 3.333 1D_3 3.333 1B_3 3.333 1P_3 1.681 1N_3 3.333 1L_3 3.333 1J_3 3.333 2G_1 1.770 2C_1 1.770 2O_1 1.770 2K_1 1.770   3H 1.352   3P 1.352
 1H_2 3.407 1F_2 3.407 1D_2 3.407 1B_2 3.407 1P_2 3.407 1N_2 3.407 1L_2 3.407 1J_2 3.407 1G_2 1.925 1C_2 1.925 1O_2 1.925 1K_2 1.925   2H 1.764   2P 1.764
 1H_1 1.721 1F_1 1.721 1D_1 1.721 1B_1 1.721 1P_1 1.721 1N_1 1.721 1L_1 1.721 1J_1 1.721 1G_1 0.994 1C_1 0.994 1O_1 0.994 1K_1 0.994   1H 1.935   1P 1.935
 2H_4 2.571 2F_4 2.525 2D_4 2.452 2B_4 2.525 2P_4 2.571 2N_4 2.525 2L_4 2.452 2J_4 2.525 4G_2 0.503 4C_2 0.503 4O_2 0.503 4K_2 0.503   4G 0.707   4O 0.707
 2H_3 2.750 2F_3 2.745 2D_3 2.628 2B_3 2.745 2P_3 2.750 2N_3 2.745 2L_3 2.628 2J_3 2.745 4G_1 0.766 4C_1 0.766 4O_1 0.766 4K_1 0.766   3G 1.238   3O 1.238
 2H_2 2.962 2F_2 2.868 2D_2 2.868 2B_2 2.868 2P_2 2.962 2N_2 2.868 2L_2 2.868 2J_2 2.868 3G_2 1.141 3C_2 1.141 3O_2 1.141 3K_2 1.141   2G 1.687   2O 1.687
 2H_1 3.130 2F_1 3.062 2D_1 2.996 2B_1 3.062 2P_1 3.130 2N_1 3.062 2L_1 2.996 2J_1 3.062 3G_1 1.375 3C_1 1.375 3O_1 1.375 3K_1 1.375   1G 1.935   1O 1.935
 3H_4 1.644 3F_4 1.604 3D_4 1.439 3B_4 1.604 3P_4 1.644 3N_4 1.604 3L_4 1.439 3J_4 1.604 2H_2 1.501 2D_2 1.501 2P_2 1.501 2L_2 1.501   4F 0.654   4N 0.654
 3H_3 1.925 3F_3 1.883 3D_3 1.721 3B_3 1.883 3P_3 1.925 3N_3 1.883 3L_3 1.721 3J_3 1.883 2H_1 1.681 2D_1 1.681 2P_1 1.681 2L_1 1.681   3F 1.151   3N 1.151
 3H_2 2.154 3F_2 2.154 3D_2 2.013 3B_2 2.154 3P_2 2.154 3N_2 2.154 3L_2 2.013 3J_2 2.154 1H_2 1.840 1D_2 1.840 1P_2 1.840 1L_2 1.840   2F 1.631   2N 1.631
 3H_1 2.355 3F_1 2.355 3D_1 2.251 3B_1 2.355 3P_1 2.355 3N_1 2.355 3L_1 2.251 3J_1 2.355 1H_1 1.969 1D_1 1.969 1P_1 1.969 1L_1 1.969   1F 1.935   1N 1.935
 4H_4 0.336 4F_4 0.336 4D_4 0.352 4B_4 0.336 4P_4 0.336 4N_4 0.336 4L_4 0.352 4J_4 0.336 4H_2 0.224 4D_2 0.224 4P_2 0.224 4L_2 0.224   4E 0.762   4M 0.762
 4H_3 0.406 4F_3 0.406 4D_3 0.416 4B_3 0.406 4P_3 0.406 4N_3 0.406 4L_3 0.416 4J_3 0.406 4H_1 0.700 4D_1 0.700 4P_1 0.700 4L_1 0.700   3E 1.352   3M 1.352
 4H_2 1.013 4F_2 0.480 4D_2 0.480 4B_2 0.480 4P_2 1.013 4N_2 0.480 4L_2 0.480 4J_2 0.480 3H_2 1.041 3D_2 1.041 3P_2 1.041 3L_2 1.041   2E 1.764   2M 1.764
 4H_1 1.305 4F_1 1.222 4D_1 1.116 4B_1 1.222 4P_1 1.305 4N_1 1.222 4L_1 1.116 4J_1 1.222 3H_1 1.305 3D_1 1.305 3P_1 1.305 3L_1 1.305   1E 1.935   1M 1.935
 1G_4 3.195 1E_4 3.195 1C_4 3.208 1A_4 3.263 1O_4 3.195 1M_4 3.195 1K_4 3.208 1I_4 3.263 2E_2 1.501 2A_2 1.501 2M_2 1.501 2I_2 1.501   4D 0.762   4L 0.762
 1G_3 3.333 1E_3 3.333 1C_3 3.333 1A_3 1.681 1O_3 3.333 1M_3 3.333 1K_3 3.333 1I_3 1.681 2E_1 1.681 2A_1 1.681 2M_1 1.681 2I_1 1.681   3D 1.352   3L 1.352
 1G_2 3.407 1E_2 3.407 1C_2 3.407 1A_2 3.407 1O_2 3.407 1M_2 3.407 1K_2 3.407 1I_2 3.407 1E_2 1.840 1A_2 1.840 1M_2 1.840 1I_2 1.840   2D 1.764   2L 1.764
 1G_1 1.721 1E_1 1.721 1C_1 1.721 1A_1 1.721 1O_1 1.721 1M_1 1.721 1K_1 1.721 1I_1 1.721 1E_1 1.969 1A_1 1.969 1M_1 1.969 1I_1 1.969   1D 1.935   1L 1.935
 2G_4 2.525 2E_4 2.452 2C_4 2.525 2A_4 2.571 2O_4 2.525 2M_4 2.452 2K_4 2.525 2I_4 2.571 4E_2 0.224 4A_2 0.224 4M_2 0.224 4I_2 0.224   4C 0.707   4K 0.707
 2G_3 2.745 2E_3 2.628 2C_3 2.688 2A_3 2.750 2O_3 2.745 2M_3 2.628 2K_3 2.688 2I_3 2.750 4E_1 0.700 4A_1 0.700 4M_1 0.700 4I_1 0.700   3C 1.238   3K 1.238
 2G_2 2.868 2E_2 2.868 2C_2 2.868 2A_2 2.962 2O_2 2.868 2M_2 2.868 2K_2 2.868 2I_2 2.962 3E_2 1.041 3A_2 1.041 3M_2 1.041 3I_2 1.041   2C 1.687   2K 1.687
