   36 
     1.500     3.300     0.050 
     1.525        0       0.0000000       0.0000000 
     1.575        0       0.0000000       0.0000000 
     1.625      429       0.0250425       0.0022743 
     1.675      462       0.0200342       0.0019275 
     1.725      408       0.0227120       0.0001548 
     1.775      465       0.0223781       0.0001265 
     1.825      474       0.0229317       0.0000527 
     1.875      420       0.0228000       0.0001282 
     1.925      453       0.0220481       0.0001195 
     1.975      414       0.0223129       0.0001574 
     2.025      459       0.0228444       0.0000918 
     2.075      405       0.0227264       0.0001140 
     2.125      444       0.0226598       0.0000917 
     2.175      447       0.0228196       0.0000670 
     2.225      480       0.0224611       0.0000832 
     2.275      450       0.0209043       0.0001529 
     2.325      411       0.0225525       0.0001378 
     2.375      441       0.0226742       0.0001322 
     2.425      435       0.0226930       0.0001203 
     2.475      390       0.0226461       0.0001232 
     2.525      450       0.0224885       0.0001548 
     2.575      480       0.0228329       0.0000628 
     2.625      492       0.0225280       0.0001569 
     2.675      408       0.0227368       0.0000704 
     2.725      408       0.0224358       0.0001173 
     2.775      420       0.0226147       0.0000987 
     2.825      471       0.0226179       0.0001370 
     2.875      441       0.0218472       0.0001697 
     2.925      477       0.0195611       0.0002102 
     2.975      441       0.0212865       0.0001517 
     3.025      369       0.0221744       0.0000941 
     3.075      450       0.0213498       0.0001541 
     3.125      438       0.0195638       0.0003212 
     3.175      429       0.0179608       0.0016190 
     3.225      474       0.0250020       0.0014116 
     3.275      465       0.0265688       0.0012732 
