/LAR/HVPathologiesOfl/Pathologies
1	0	6	2	61	  182   7  1
1	0	6	2	68	  182   3  1
1	0	6	3	39	  181   4  1
1	0	6	3	108	  181   1  1
1	0	6	4	42	  180   6  1
1	0	6	5	1	  187   4  1
1	0	6	5	92	  187   3  1
1	0	6	7	124	  185   0  1
1	0	6	9	41	  184   7  1
1	0	6	9	126	  184   0  1
1	0	6	12	122	  191   2  1
1	0	6	12	124	  191   3  1
1	1	6	2	4	  81    2  1
1	1	6	2	17	  81    3  1
1	1	6	2	18	  81    1  1
1	1	6	2	34	  81    2  1
1	1	6	2	111	  81    4  1
1	1	6	3	36	  82    2  1
1	1	6	3	106	  82    5  1
1	1	6	4	82	  83    6  1
1	1	6	4	100	  83    4  1
1	1	6	5	0	  84    1  1
1	1	6	5	60	  84    2  1
1	1	6	5	63	  84    0  1
1	1	6	6	5	  85    2  1
1	1	6	6	22	  85    3  1
1	1	6	7	7	  86    0  1
1	1	6	7	124	  86    7  1
1	1	6	9	42	  87    2  1
1	1	6	10	85	  88    7  1
1	1	6	11	5	  89    0  1
1	1	6	12	92	  90    6  1
1	1	6	14	100	  92    4  1
1	1	6	14	124	  92    6  1
1	1	6	15	61	  93    1  1
