# lxplus: ~sfratina/public/TRT/swIndex.txt, columns:
# barrel only, perhaps order of chips for side C is slightly different in one board
# - straw number 0-1641
# - chip number 0-103
# - layer number 0-2
# - straw layer number 0-29
# - straw number within a layer 0-15
   0   0 0  0 14
   1   0 0  0 13
   2   0 0  0 12
   3   1 0  0 11
   4   1 0  0 10
   5   1 0  0  9
   6   1 0  0  8
   7   2 0  0  7
   8   2 0  0  6
   9   2 0  0  5
  10   2 0  0  4
  11   3 0  0  3
  12   3 0  0  2
  13   3 0  0  1
  14   3 0  0  0
  15   0 0  1 15
  16   0 0  1 14
  17   0 0  1 13
  18   0 0  1 12
  19   1 0  1 11
  20   1 0  1 10
  21   1 0  1  9
  22   2 0  1  8
  23   2 0  1  7
  24   2 0  1  6
  25   2 0  1  5
  26   3 0  1  4
  27   3 0  1  3
  28   3 0  1  2
  29   3 0  1  1
  30   3 0  1  0
  31   0 0  2 15
  32   0 0  2 14
  33   0 0  2 13
  34   0 0  2 12
  35   1 0  2 11
  36   1 0  2 10
  37   1 0  2  9
  38   2 0  2  8
  39   2 0  2  7
  40   2 0  2  6
  41   3 0  2  5
  42   3 0  2  4
  43   3 0  2  3
  44   3 0  2  2
  45  20 0  2  1
  46  20 0  2  0
  47   0 0  3 15
  48   0 0  3 14
  49   0 0  3 13
  50   0 0  3 12
  51   1 0  3 11
  52   1 0  3 10
  53   2 0  3  9
  54   2 0  3  8
  55   2 0  3  7
  56   2 0  3  6
  57   3 0  3  5
  58   3 0  3  4
  59   3 0  3  3
  60  20 0  3  2
  61  20 0  3  1
  62  20 0  3  0
  63   0 0  4 15
  64   6 0  4 14
  65   6 0  4 13
  66   6 0  4 12
  67   6 0  4 11
  68   5 0  4 10
  69   5 0  4  9
  70   5 0  4  8
  71   4 0  4  7
  72   4 0  4  6
  73   4 0  4  5
  74   4 0  4  4
  75   4 0  4  3
  76  20 0  4  2
  77  20 0  4  1
  78  20 0  4  0
  79   6 0  5 16
  80   6 0  5 15
  81   6 0  5 14
  82   6 0  5 13
  83   5 0  5 12
  84   5 0  5 11
  85   5 0  5 10
  86   5 0  5  9
  87   4 0  5  8
  88   4 0  5  7
  89   4 0  5  6
  90   4 0  5  5
  91  20 0  5  4
  92  20 0  5  3
  93  20 0  5  2
  94  20 0  5  1
  95  20 0  5  0
  96   6 0  6 16
  97   6 0  6 15
  98   6 0  6 14
  99   6 0  6 13
 100   5 0  6 12
 101   5 0  6 11
 102   5 0  6 10
 103   5 0  6  9
 104   4 0  6  8
 105   4 0  6  7
 106   4 0  6  6
 107  19 0  6  5
 108  19 0  6  4
 109  20 0  6  3
 110  20 0  6  2
 111  20 0  6  1
 112  18 0  6  0
 113   6 0  7 16
 114   6 0  7 15
 115   6 0  7 14
 116   6 0  7 13
 117   5 0  7 12
 118   5 0  7 11
 119   5 0  7 10
 120   4 0  7  9
 121   4 0  7  8
 122   4 0  7  7
 123  19 0  7  6
 124  19 0  7  5
 125  19 0  7  4
 126  19 0  7  3
 127  18 0  7  2
 128  18 0  7  1
 129  18 0  7  0
 130   7 0  8 16
 131   7 0  8 15
 132   7 0  8 14
 133   7 0  8 13
 134   8 0  8 12
 135   8 0  8 11
 136   8 0  8 10
 137   8 0  8  9
 138   4 0  8  8
 139  19 0  8  7
 140  19 0  8  6
 141  19 0  8  5
 142  19 0  8  4
 143  18 0  8  3
 144  18 0  8  2
 145  18 0  8  1
 146  18 0  8  0
 147   7 0  9 16
 148   7 0  9 15
 149   7 0  9 14
 150   8 0  9 13
 151   8 0  9 12
 152   8 0  9 11
 153   8 0  9 10
 154  19 0  9  9
 155  19 0  9  8
 156  19 0  9  7
 157  19 0  9  6
 158  19 0  9  5
 159  18 0  9  4
 160  18 0  9  3
 161  18 0  9  2
 162  18 0  9  1
 163  18 0  9  0
 164   7 0 10 17
 165   7 0 10 16
 166   7 0 10 15
 167   8 0 10 14
 168   8 0 10 13
 169   8 0 10 12
 170   8 0 10 11
 171  15 0 10 10
 172  15 0 10  9
 173  19 0 10  8
 174  15 0 10  7
 175  16 0 10  6
 176  16 0 10  5
 177  18 0 10  4
 178  18 0 10  3
 179  18 0 10  2
 180  17 0 10  1
 181  17 0 10  0
 182   7 0 11 17
 183   7 0 11 16
 184   7 0 11 15
 185   8 0 11 14
 186   8 0 11 13
 187   8 0 11 12
 188   8 0 11 11
 189  15 0 11 10
 190  15 0 11  9
 191  15 0 11  8
 192  16 0 11  7
 193  16 0 11  6
 194  16 0 11  5
 195  16 0 11  4
