# author : tinapotter@gmail.com (please report any problems)
# date   : 26/02/2015
# update : 
# brief  : Processes 201(selL+selL-), 202(selR+selR-), 216(smuL+smuL-), 217(smuR+smuR-). Cross sections are provided in pb
# command: python SUSYCrossSectionSubmit.py --tev 13 --dir SleptonPair --outputdir Output_SleptonPair --processes ll --subprocesses ll1,ll2,ll16,ll17 --prun --griduser chpotter
# format : datasetID   finalState   XS   BF   filterEff   relUncertainty
100	0	204550	201	0.1896561	1.00	1.00	0.0359384
100	0	204550	202	0.0728426	1.00	1.00	0.0389856
100	0	204550	216	0.1896561	1.00	1.00	0.0359384
100	0	204550	217	0.0728426	1.00	1.00	0.0389856
160	0	204551	201	0.0431469	1.00	1.00	0.0464884
160	0	204551	202	0.0166255	1.00	1.00	0.0471754
160	0	204551	216	0.0431469	1.00	1.00	0.0464884
160	0	204551	217	0.0166255	1.00	1.00	0.0471754
200	0	204552	201	0.0197933	1.00	1.00	0.049565
200	0	204552	202	0.0076565	1.00	1.00	0.053217
200	0	204552	216	0.0197933	1.00	1.00	0.049565
200	0	204552	217	0.0076565	1.00	1.00	0.053217
255	0	204553	201	0.0080444	1.00	1.00	0.0556644
255	0	204553	202	0.0031252	1.00	1.00	0.0579477
255	0	204553	216	0.0080444	1.00	1.00	0.0556644
255	0	204553	217	0.0031252	1.00	1.00	0.0579477
300	0	204554	201	0.0042601	1.00	1.00	0.0582816
300	0	204554	202	0.0016532	1.00	1.00	0.0607086
300	0	204554	216	0.0042601	1.00	1.00	0.0582816
300	0	204554	217	0.0016532	1.00	1.00	0.0607086
360	0	204555	201	0.002013	1.00	1.00	0.0634688
360	0	204555	202	0.0007883	1.00	1.00	0.0674128
360	0	204555	216	0.002013	1.00	1.00	0.0634688
360	0	204555	217	0.0007883	1.00	1.00	0.0674128
