# author : steffen.schaepe@cern.ch (please report any problems)
# date   : 26/04/2015
# update :
# brief  : GMSB grid with all processes, including all sl-sl. Cross sections are provided in pb
# command: SUSYCrossSectionSubmit.py --tev 13 --dir <slha-dir> --prun --griduser schaepe --prunoptions '--cmtConfig=x86_64-slc6-gcc47-opt' --process gg,sg,ss,sb,tb,ns,ng,nn
# command: SUSYCrossSectionSubmit.py --tev 13 --dir <slha-dir> --prun --griduser schaepe --prunoptions '--cmtConfig=x86_64-slc6-gcc47-opt' --process ll --ipart1 1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20
#
# format : datasetID   finalState   XS   k-fac   filterEff   relUncertainty
205118      1      0.0025051382   1.00000000    1.00000000   0.26602180
205118      2      0.0002477686   1.00000000    1.00000000   0.51972051
205118      3      0.0036846814   1.00000000    1.00000000   0.13594634
205118      4      0.0006077350   1.00000000    1.00000000   0.27850294
205118     61      0.0000381965   1.00000000    1.00000000   0.32306270
205118     62      0.0000150954   1.00000000    1.00000000   0.37209957
205118     71      0.0000592787   1.00000000    1.00000000   0.11049886
205118     72      0.0000129358   1.00000000    1.00000000   0.09708521
205118     73      0.0000003370   1.00000000    1.00000000   0.08726418
205118     74      0.0000336215   1.00000000    1.00000000   0.09230571
205118     75      0.0000180826   1.00000000    1.00000000   0.10574443
205118     76      0.0000495388   1.00000000    1.00000000   0.13053309
205118     77      0.0000059904   1.00000000    1.00000000   0.13963613
205118     78      0.0000170206   1.00000000    1.00000000   0.14768907
205118     81      0.0001431674   1.00000000    1.00000000   0.23479516
205118     82      0.0000351554   1.00000000    1.00000000   0.24273985
205118     83      0.0000002084   1.00000000    1.00000000   0.24874093
205118     84      0.0001038701   1.00000000    1.00000000   0.24757903
205118     85      0.0000410009   1.00000000    1.00000000   0.23631614
205118     86      0.0001578653   1.00000000    1.00000000   0.24033248
205118     87      0.0000195234   1.00000000    1.00000000   0.27374612
205118     88      0.0000549626   1.00000000    1.00000000   0.28189392
205118    111      0.0000473774   1.00000000    1.00000000   0.07662882
205118    112      0.0000007037   1.00000000    1.00000000   0.08191891
205118    113      0.0000469877   1.00000000    1.00000000   0.06743924
205118    114      0.0000050518   1.00000000    1.00000000   0.07492673
205118    115      0.0000774851   1.00000000    1.00000000   0.06638215
205118    116      0.0000113172   1.00000000    1.00000000   0.07726097
205118    117      0.0000303741   1.00000000    1.00000000   0.08041265
205118    118      0.0000039848   1.00000000    1.00000000   0.09423124
205118    122      0.0000030148   1.00000000    1.00000000   0.08531931
205118    123      0.0009550410   1.00000000    1.00000000   0.06934452
205118    124      0.0000152776   1.00000000    1.00000000   0.09346641
205118    125      0.0023087550   1.00000000    1.00000000   0.07262855
205118    126      0.0000255784   1.00000000    1.00000000   0.07702742
205118    127      0.0008396155   1.00000000    1.00000000   0.08876828
205118    128      0.0000092320   1.00000000    1.00000000   0.09116083
205118    133      0.0000000024   1.00000000    1.00000000   0.07652386
205118    134      0.0001345265   1.00000000    1.00000000   0.07785487
205118    135      0.0014673541   1.00000000    1.00000000   0.07465825
205118    136      0.0001973595   1.00000000    1.00000000   0.07560127
205118    137      0.0005323727   1.00000000    1.00000000   0.09009787
205118    138      0.0000688934   1.00000000    1.00000000   0.09430340
205118    144      0.0000198978   1.00000000    1.00000000   0.08756777
205118    145      0.0000222305   1.00000000    1.00000000   0.07593401
205118    146      0.0010153852   1.00000000    1.00000000   0.07813409
205118    147      0.0000080381   1.00000000    1.00000000   0.09112537
205118    148      0.0003474355   1.00000000    1.00000000   0.09843480
205118    157      0.0016804174   1.00000000    1.00000000   0.07918704
205118    158      0.0000397847   1.00000000    1.00000000   0.07685259
205118    167      0.0000397749   1.00000000    1.00000000   0.07737822
205118    168      0.0006732289   1.00000000    1.00000000   0.07805365
205118    201      0.0001426301   1.00000000    1.00000000   0.08539682
205118    202      0.0013994239   1.00000000    1.00000000   0.06095183
205118    203      0.0001332427   1.00000000    1.00000000   0.07592333
205118    204      0.0003904419   1.00000000    1.00000000   0.07974677
205118    205      0.0001394527   1.00000000    1.00000000   0.09964472
205118    206      0.0014492195   1.00000000    1.00000000   0.05976064
205118    207      0.0001420180   1.00000000    1.00000000   0.08283695
205118    208      0.0000008009   1.00000000    1.00000000   0.07144521
205118    209      0.0001340903   1.00000000    1.00000000   0.08608324
205118    210      0.0000023502   1.00000000    1.00000000   0.07179285
205118    211      0.0000009265   1.00000000    1.00000000   0.08564793
205118    212      0.0003922468   1.00000000    1.00000000   0.08076064
205118    213      0.0001401121   1.00000000    1.00000000   0.10044252
205118    216      0.0001426301   1.00000000    1.00000000   0.08539682
205118    217      0.0013994239   1.00000000    1.00000000   0.06095183
205118    218      0.0001332427   1.00000000    1.00000000   0.07592333
205118    219      0.0003904419   1.00000000    1.00000000   0.07974677
205118    220      0.0001394527   1.00000000    1.00000000   0.09964472
205119      1      0.0025264570   1.00000000    1.00000000   0.26507272
205119      2      0.0002508718   1.00000000    1.00000000   0.51932428
205119      3      0.0036942517   1.00000000    1.00000000   0.13575761
205119      4      0.0006081672   1.00000000    1.00000000   0.27759437
205119     61      0.0000379766   1.00000000    1.00000000   0.32367901
205119     62      0.0000171505   1.00000000    1.00000000   0.36186577
205119     71      0.0000594203   1.00000000    1.00000000   0.11084900
205119     72      0.0000106612   1.00000000    1.00000000   0.09846876
205119     73      0.0000004175   1.00000000    1.00000000   0.08636815
205119     74      0.0000358511   1.00000000    1.00000000   0.09015516
205119     75      0.0000150136   1.00000000    1.00000000   0.11413387
205119     76      0.0000528659   1.00000000    1.00000000   0.12841362
205119     77      0.0000049665   1.00000000    1.00000000   0.13911312
205119     78      0.0000180124   1.00000000    1.00000000   0.14838772
205119     81      0.0001429609   1.00000000    1.00000000   0.23770557
205119     82      0.0000288233   1.00000000    1.00000000   0.24397755
205119     83      0.0000002599   1.00000000    1.00000000   0.24729883
205119     84      0.0001101505   1.00000000    1.00000000   0.24814073
205119     85      0.0000322443   1.00000000    1.00000000   0.23660564
205119     86      0.0001665286   1.00000000    1.00000000   0.23991591
205119     87      0.0000162694   1.00000000    1.00000000   0.27630654
205119     88      0.0000582088   1.00000000    1.00000000   0.28228975
205119    111      0.0000473394   1.00000000    1.00000000   0.07595329
205119    112      0.0000005320   1.00000000    1.00000000   0.08281568
205119    113      0.0000479481   1.00000000    1.00000000   0.06573631
205119    114      0.0000053057   1.00000000    1.00000000   0.07556565
205119    115      0.0000774091   1.00000000    1.00000000   0.06613739
205119    116      0.0000110142   1.00000000    1.00000000   0.07019388
205119    117      0.0000305255   1.00000000    1.00000000   0.08031115
205119    118      0.0000038834   1.00000000    1.00000000   0.09448160
205119    122      0.0000021196   1.00000000    1.00000000   0.08480792
205119    123      0.0010920937   1.00000000    1.00000000   0.07133667
205119    124      0.0000135460   1.00000000    1.00000000   0.09069511
205119    125      0.0023790452   1.00000000    1.00000000   0.07345936
205119    126      0.0000229271   1.00000000    1.00000000   0.07892704
205119    127      0.0008710292   1.00000000    1.00000000   0.08750549
205119    128      0.0000083225   1.00000000    1.00000000   0.09225300
205119    133      0.0000000029   1.00000000    1.00000000   0.07458094
205119    134      0.0001149176   1.00000000    1.00000000   0.07540159
205119    135      0.0016681321   1.00000000    1.00000000   0.07390436
205119    136      0.0001679410   1.00000000    1.00000000   0.07326400
205119    137      0.0006040468   1.00000000    1.00000000   0.08851712
205119    138      0.0000586713   1.00000000    1.00000000   0.09454715
205119    144      0.0000224187   1.00000000    1.00000000   0.08350856
205119    145      0.0000206217   1.00000000    1.00000000   0.08065234
205119    146      0.0010765138   1.00000000    1.00000000   0.07755240
205119    147      0.0000074584   1.00000000    1.00000000   0.09154172
205119    148      0.0003672860   1.00000000    1.00000000   0.09731764
205119    157      0.0017455865   1.00000000    1.00000000   0.07184043
205119    158      0.0000353092   1.00000000    1.00000000   0.07680944
205119    167      0.0000353067   1.00000000    1.00000000   0.07718339
205119    168      0.0007114877   1.00000000    1.00000000   0.07906325
205119    201      0.0001425980   1.00000000    1.00000000   0.08519067
205119    202      0.0014009337   1.00000000    1.00000000   0.06762916
205119    203      0.0001336087   1.00000000    1.00000000   0.07701840
205119    204      0.0003905964   1.00000000    1.00000000   0.07982658
205119    205      0.0001394527   1.00000000    1.00000000   0.09964472
205119    206      0.0026377456   1.00000000    1.00000000   0.05916519
205119    207      0.0001386335   1.00000000    1.00000000   0.08138413
205119    208      0.0000146808   1.00000000    1.00000000   0.07009869
205119    209      0.0001441755   1.00000000    1.00000000   0.08201484
205119    210      0.0000453599   1.00000000    1.00000000   0.06830842
205119    211      0.0000181636   1.00000000    1.00000000   0.08419036
205119    212      0.0003980352   1.00000000    1.00000000   0.07896982
205119    213      0.0001419955   1.00000000    1.00000000   0.09330901
205119    216      0.0001426301   1.00000000    1.00000000   0.08539682
205119    217      0.0014027982   1.00000000    1.00000000   0.06216277
205119    218      0.0001336087   1.00000000    1.00000000   0.07701840
205119    219      0.0003910088   1.00000000    1.00000000   0.08031322
205119    220      0.0001394527   1.00000000    1.00000000   0.09964472
205120      1      0.0486421743   1.00000000    1.00000000   0.15603316
205120      2      0.0070280908   1.00000000    1.00000000   0.33075427
205120      3      0.0437004839   1.00000000    1.00000000   0.11270570
205120      4      0.0126768392   1.00000000    1.00000000   0.16033681
205120     61      0.0007693295   1.00000000    1.00000000   0.20737752
205120     62      0.0003411790   1.00000000    1.00000000   0.23751411
205120     71      0.0005899730   1.00000000    1.00000000   0.09935254
205120     72      0.0003233462   1.00000000    1.00000000   0.09747151
205120     73      0.0000062519   1.00000000    1.00000000   0.08479330
205120     74      0.0002884761   1.00000000    1.00000000   0.09391034
205120     75      0.0004967405   1.00000000    1.00000000   0.08540833
205120     76      0.0004750895   1.00000000    1.00000000   0.08294612
205120     77      0.0001611843   1.00000000    1.00000000   0.12221907
205120     78      0.0001548723   1.00000000    1.00000000   0.12281143
205120     81      0.0012352321   1.00000000    1.00000000   0.21495232
205120     82      0.0007536965   1.00000000    1.00000000   0.22579944
205120     83      0.0000037366   1.00000000    1.00000000   0.22904290
205120     84      0.0007520111   1.00000000    1.00000000   0.22903582
205120     85      0.0009060968   1.00000000    1.00000000   0.22361713
205120     86      0.0011570941   1.00000000    1.00000000   0.22371459
205120     87      0.0004607048   1.00000000    1.00000000   0.24179694
205120     88      0.0004288005   1.00000000    1.00000000   0.24465578
205120    111      0.0002312369   1.00000000    1.00000000   0.07025869
205120    112      0.0000075668   1.00000000    1.00000000   0.06844745
205120    113      0.0002494088   1.00000000    1.00000000   0.06307987
205120    114      0.0000254338   1.00000000    1.00000000   0.06647857
205120    115      0.0004200008   1.00000000    1.00000000   0.06060958
205120    116      0.0000893998   1.00000000    1.00000000   0.06299982
205120    117      0.0001871736   1.00000000    1.00000000   0.07844067
205120    118      0.0000362082   1.00000000    1.00000000   0.07804647
205120    122      0.0000802044   1.00000000    1.00000000   0.07172885
