159802	21000
117050	10042
117001	10042
117049	10042
164439	10042
177998	10042
174382	10042
178384	10042
178385	10042
178386	10042
178387	10042
178388	10042
178389	10042
178390	10042
178391	10042
178392	10042
178393	10042
178394	10042
178395	10042
105921	10800
105922	10800
105923	10800
105924	10800
105925	10800
105926	10800
105927	10800
105928	10800
105929	10800
119583	10042
161705	10042
161706	10042
161707	10042
161708	10042
161709	10042
161710	10042
161711	10042
161716	10042
161717	10042
161718	10042
161719	10042
161720	10042
161721	10042
161722	10042
161727	10042
161728	10042
161729	10042
161730	10042
161731	10042
161732	10042
161733	10042
117800	10800
117801	10800
117802	10800
117803	10800
117804	10800
117805	10800
117806	10800
117807	10800
117808	10800
117809	10800
117007	10042
117008	10042
117009	10042
117010	10042
167650	10800
167651	10800
167652	10800
167653	10800
167654	10800
167655	10800
167656	10800
167657	10800
167658	10800
167659	10800
167660	10800
167661	10800
167662	10800
169695	10800
181679	10800
105985	10042
105986	10042
105987	10042
200432	10042
200433	10042
200434	10042
200435	10042
200440	10042
200441	10042
200442	10042
200443	10042
200448	10042
200449	10042
200450	10042
200451	10042
110721	10042
110722	10042
110723	10042
110724	10042
110725	10042
110726	10042
110727	10042
110728	10042
110729	10042
110730	10042
110731	10042
200056	10042
200057	10042
200058	10042
200059	10042
200060	10042
119353	10042
119354	10042
174830	10042
174831	10042
119355	10042
119356	10042
174832	10042
174833	10042
200332	10042
200333	10042
200334	10042
200335	10042
200340	10042
200341	10042
200342	10042
200343	10042
200348	10042
200349	10042
200350	10042
200351	10042
167006	10042
167007	10042
167008	10042
110605	10042
185393	10800
185394	10800
185396	10800
185397	10800
161982	10800
161983	10800
161987	10800
147191	10800
147192	10800
147193	10800
147194	10800
147195	10800
147196	10800
129800	10800
158633	21000
158639	21000
158640	21000
167767	10800
167768	10800
167769	10800
167776	10800
167777	10800
167778	10800
167779	10800
167780	10800
167781	10800
167782	10800
167783	10800
167784	10800
167785	10800
167786	10800
167787	10800
167788	10800
167789	10800
167790	10800
167791	10800
167792	10800
167793	10800
167794	10800
167795	10800
167796	10800
190050	10042
190051	10042
190052	10042
190053	10042
190040	10042
190041	10042
190042	10042
190043	10042
190030	10042
190031	10042
190032	10042
190033	10042
