pos_neg FT	 Slot Chan.   CalibLine     Status

0    0	0	 5    117     0		  highNoiseHG  
0    0	0	 13   48      0		  lowNoiseHG
0    0	1	 1    121     0		  highNoiseHG
0    0	1	 5    102     0		  highNoiseHG
0    0	4	 4    84      0		  unstableNoiseHG
0    0	5	 11   90      0		  highNoiseHG
0    0	5	 13   114     0		  highNoiseHG
0    0	7	 3    18      0		  highNoiseHG
0    0	7	 6    18      0		  highNoiseHG
0    0	10	 1    121     0		  highNoiseHG
0    0	10	 8    3       0		  lowNoiseHG
0    0	10	 9    55      0		  highNoiseHG
0    0	14	 3    93      0		  highNoiseHG
0    0	20	 14   54      0		  highNoiseHG
0    0	21	 6    56      0		  unstableNoiseHG
0    0	21	 6    64      0		  highNoiseHG
0    0	22	 2    127     0		  highNoiseHG
0    0	22	 3    127     0		  highNoiseHG
0    0	22	 6    115     0		  lowNoiseHG
0    0	22	 10   40      0		  unstableNoiseHG
0    0	23	 9    72      0		  lowNoiseHG
0    0	23	 12   72      0		  unstableNoiseHG
0    0	24	 10   44      0		  lowNoiseHG
0    0	26	 6    32      0		  highNoiseHG
0    0	27	 1    121     0		  highNoiseHG
0    0	28	 1    120     0		  highNoiseHG
0    0	28	 1    121     0		  highNoiseHG
0    0	28	 13   62      0		  highNoiseHG
0    0	28	 13   63      0		  highNoiseHG
0    0	29	 2    119     0		  highNoiseHG
0    0	29	 14   40      0		  highNoiseHG
0    0	30	 1    62      0		  highNoiseHG
0    0	30	 1    63      0		  highNoiseHG
0    0	30	 2    62      0		  highNoiseHG
0    0	30	 2    63      0		  highNoiseHG
0    0	30	 2    100     0		  highNoiseHG
0    0	30	 2    127     0		  highNoiseHG
0    0	30	 3    127     0		  highNoiseHG
0    0	30	 6    113     0		  highNoiseHG
0    0	31	 2    75      0		  highNoiseHG

0    1	5 	 6    85      0		  unstableNoiseHG
0    1	5 	 6    86      0		  unstableNoiseHG
0    1	8 	 1    114     0		  highNoiseHG
0    1	9 	 4    96      0		  highNoiseHG
0    1	9 	 14   54      0		  unstableNoiseHG
0    1	11	 1    56      0		  highNoiseHG
0    1	11	 11   116     0		  highNoiseHG
0    1	12	 12   77      0		  highNoiseHG
0    1	13	 12   126     0		  highNoiseHG
0    1	14	 7    87      0		  highNoiseHG
0    1	14	 9    38      0		  highNoiseHG
0    1	14	 9    64      0		  highNoiseHG
0    1	15	 14   48      0		  highNoiseHG
0    1	15	 14   50      0		  highNoiseHG
0    1	16	 2    34      0		  highNoiseHG
0    1	17	 1    121     0		  highNoiseHG
0    1	17	 3    100     0		  highNoiseHG
0    1	17	 6    117     0		  unstableNoiseHG
0    1	17	 6    118     0		  unstableNoiseHG
0    1	17	 6    119     0		  unstableNoiseHG
0    1	17	 8    70      0		  unstableNoiseHG
0    1	17	 14   20      0		  lowNoiseHG
0    1	17	 14   21      0		  lowNoiseHG
0    1	17	 14   22      0		  lowNoiseHG
0    1	17	 14   23      0		  lowNoiseHG
0    1	18	 6    86      0		  highNoiseHG
0    1	21	 1    109     0		  highNoiseHG
0    1	21	 6    118     0		  unstableNoiseHG
0    1	24	 13   48      0		  lowNoiseHG
0    1	26	 7    6       0		  highNoiseHG
0    1	26	 7    7       0		  highNoiseHG
